year,tmID,confID,Actual_Rank,WeightedScore,Continuity,PrevWinPct,PrevPointsFor,PrevPointsAgainst,CoachWinPct
2,CHA,EA,4,0.2655906370956183,0.38461538461538464,0.25,2186,2429,0.25
2,CLE,EA,1,0.24252689752851836,0.8461538461538461,0.53125,2185,2122,0.53125
2,DET,EA,7,0.2503456049814404,0.5384615384615384,0.4375,2331,2426,0.4375
2,HOU,WE,4,0.3559576857405346,0.5833333333333334,0.84375,2475,2066,0.84375
2,IND,EA,6,0.26014908264348197,0.4666666666666667,0.28125,2213,2290,0.28125
2,LAS,WE,1,0.30960231620909057,0.6363636363636364,0.875,2417,2169,0.875
2,MIA,EA,3,0.193845025842096,0.46153846153846156,0.40625,1831,2001,0.40625
2,MIN,WE,6,0.2681369226913919,0.38461538461538464,0.46875,2193,2188,0.46875
2,NYL,EA,2,0.24607205083254177,0.5384615384615384,0.625,2148,2035,0.625
2,ORL,EA,5,0.261720024320264,0.6153846153846154,0.5,2208,2233,0.5
2,PHO,WE,5,0.2899862744105158,0.7142857142857143,0.625,2243,2102,0.625
2,POR,WE,7,0.21749573986992612,0.5833333333333334,0.3125,2155,2303,0.3125
2,SAC,WE,2,0.32386502977917525,0.6666666666666666,0.65625,2343,2176,0.65625
2,SEA,WE,8,0.16388467244475102,0.5714285714285714,0.1875,1822,2171,0.1875
2,UTA,WE,3,0.3054595710562255,0.5714285714285714,0.5625,2413,2407,0.5625
2,WAS,EA,8,0.2659320684407431,0.5384615384615384,0.4375,2176,2221,0.4375
3,CHA,EA,2,0.23354155487487974,0.8333333333333334,0.5625,2055,2009,0.40625
3,CLE,EA,7,0.24511945800869286,0.6,0.6875,2004,1788,0.609375
3,DET,EA,8,0.2083694306912523,0.5833333333333334,0.3125,2103,2269,0.375
3,HOU,WE,2,0.25227489924465857,0.7272727272727273,0.59375,2047,1994,0.71875
3,IND,EA,4,0.2389630806548572,0.5384615384615384,0.3125,2153,2249,0.296875
3,LAS,WE,1,0.3168584610368443,0.6363636363636364,0.875,2441,2166,0.875
3,MIA,EA,6,0.23510801190208194,0.5,0.625,1957,1898,0.515625
3,MIN,WE,8,0.25512482996917796,0.8333333333333334,0.375,2077,2156,0.421875
