year,tmID,confID,Actual_Rank,WeightedScore,NumPlayers,PrevWinPct,CoachExperience,CoachChanged
2,CHA,EA,4,0.2655906370956183,13,0.25,0,1
2,CLE,EA,1,0.24252689752851836,13,0.53125,1,0
2,DET,EA,7,0.2503456049814404,13,0.4375,0,1
2,HOU,WE,4,0.3559576857405346,12,0.84375,1,0
2,IND,EA,6,0.26014908264348197,15,0.28125,0,1
2,LAS,WE,1,0.30960231620909057,11,0.875,1,0
2,MIA,EA,3,0.193845025842096,13,0.40625,1,0
2,MIN,WE,6,0.2681369226913919,13,0.46875,1,0
2,NYL,EA,2,0.24607205083254177,13,0.625,1,0
2,ORL,EA,5,0.261720024320264,13,0.5,1,0
2,PHO,WE,5,0.2899862744105158,14,0.625,0,1
2,POR,WE,7,0.21749573986992612,12,0.3125,1,0
2,SAC,WE,2,0.32386502977917525,12,0.65625,1,0
2,SEA,WE,8,0.16388467244475102,14,0.1875,1,0
2,UTA,WE,3,0.3054595710562255,14,0.5625,0,1
2,WAS,EA,8,0.2659320684407431,13,0.4375,0,1
3,CHA,EA,2,0.23354155487487974,12,0.5625,1,0
3,CLE,EA,7,0.24511945800869286,15,0.6875,2,0
3,DET,EA,8,0.2083694306912523,12,0.3125,0,1
3,HOU,WE,2,0.25227489924465857,11,0.59375,2,0
3,IND,EA,4,0.2389630806548572,13,0.3125,1,0
3,LAS,WE,1,0.3168584610368443,11,0.875,2,0
3,MIA,EA,6,0.23510801190208194,12,0.625,2,0
3,MIN,WE,8,0.25512482996917796,12,0.375,2,0
3,NYL,EA,1,0.26746458808330037,15,0.65625,2,0
3,ORL,EA,5,0.26014306653983066,12,0.40625,0,1
3,PHO,WE,7,0.24244393672127362,18,0.40625,1,0
3,POR,WE,5,0.2108065276350168,13,0.34375,2,0
3,SAC,WE,6,0.2982774658145428,13,0.625,1,1
3,SEA,WE,4,0.21922843646199597,13,0.3125,2,0
3,UTA,WE,3,0.26355286756367835,12,0.59375,1,0
3,WAS,EA,3,0.22353068810432217,14,0.3125,0,1
4,CHA,EA,2,0.27871448545196176,13,0.5625,0,1
4,CLE,EA,4,0.24684715168997737,13,0.3125,3,0
4,DET,EA,1,0.23915446436743765,15,0.28125,1,0
4,HOU,WE,2,0.2792363010221868,14,0.75,3,0
4,IND,EA,5,0.29294125303588314,13,0.5,2,0
4,LAS,WE,1,0.30810086204815496,13,0.78125,3,0
4,MIN,WE,4,0.20045731104798525,12,0.3125,0,1
4,NYL,EA,6,0.2525777134316337,11,0.5625,3,0
4,PHO,WE,7,0.22616897096505806,15,0.34375,0,1
4,SAC,WE,3,0.2640777355628469,14,0.4375,2,0
4,SEA,WE,5,0.27640328795512986,15,0.53125,0,1
4,WAS,EA,7,0.27137106630904195,14,0.53125,1,0
5,CHA,EA,5,0.2391862610485108,11,0.5294117647058824,1,0
5,CON,EA,1,0.2688462498294758,11,0.5294117647058824,1,0
5,DET,EA,3,0.28813379610080825,13,0.7352941176470589,2,0
5,HOU,WE,6,0.2653935718556127,12,0.5882352941176471,4,0
5,IND,EA,6,0.29919130835044894,13,0.47058823529411764,0,1
5,LAS,WE,1,0.28749205954055784,15,0.7058823529411765,4,0
5,MIN,WE,3,0.26634899903661985,11,0.5294117647058824,1,0
5,NYL,EA,2,0.25508005809138784,12,0.47058823529411764,4,0
5,PHO,WE,5,0.20491986291191175,21,0.23529411764705882,0,1
5,SAC,WE,4,0.2637766520510234,11,0.5588235294117647,1,1
5,SAS,WE,7,0.22993616249144905,11,0.35294117647058826,0,1
5,SEA,WE,2,0.3164527667671049,14,0.5294117647058824,1,0
5,WAS,EA,4,0.2696033748483675,14,0.2647058823529412,0,1
6,CHA,EA,6,0.2152400502848566,14,0.47058823529411764,0,1
6,CON,EA,1,0.26244741415544126,11,0.5294117647058824,2,0
6,DET,EA,4,0.2759467016397956,15,0.5,3,0
6,HOU,WE,3,0.2385513911797786,13,0.38235294117647056,5,0
6,IND,EA,2,0.2696169453184776,12,0.4411764705882353,1,0
6,LAS,WE,4,0.2943917781025026,13,0.7352941176470589,0,1
6,MIN,WE,6,0.23108648629218106,12,0.5294117647058824,2,0
6,NYL,EA,3,0.24358060373479698,12,0.5294117647058824,1,1
6,PHO,WE,5,0.27220340978031293,14,0.5,1,0
6,SAC,WE,1,0.2800612727825102,12,0.5294117647058824,2,0
6,SAS,WE,7,0.23799149155062546,15,0.2647058823529412,0,1
6,SEA,WE,2,0.299758548358649,12,0.5882352941176471,2,0
6,WAS,EA,5,0.25180769684006343,12,0.5,0,1
7,CHA,EA,6,0.19857519119640507,16,0.17647058823529413,1,0
7,CON,EA,1,0.30489201947355715,12,0.7647058823529411,3,0
7,DET,EA,2,0.21998654720500663,15,0.47058823529411764,4,0
7,HOU,WE,3,0.2772890365405673,14,0.5588235294117647,6,0
7,IND,EA,3,0.24585943321601736,12,0.6176470588235294,2,0
7,LAS,WE,1,0.26641321349735564,14,0.5,1,1
7,MIN,WE,7,0.2275318916822633,15,0.4117647058823529,0,1
7,NYL,EA,5,0.25810861970931603,15,0.5294117647058824,2,0
7,PHO,WE,5,0.2769131132288724,15,0.47058823529411764,0,1
7,SAC,WE,2,0.2741200254753731,12,0.7352941176470589,3,0
7,SAS,WE,6,0.212905960887329,12,0.20588235294117646,1,0
7,SEA,WE,4,0.291347901520377,13,0.5882352941176471,3,0
7,WAS,EA,4,0.23510438055116273,13,0.47058823529411764,1,0
8,CHI,EA,6,0.24309053296628214,15,0.14705882352941177,0,1
8,CON,EA,3,0.3344753968762758,14,0.7647058823529411,4,0
8,DET,EA,1,0.28618917239824226,13,0.6764705882352942,5,0
8,HOU,WE,5,0.2852870563341688,13,0.5294117647058824,0,1
8,IND,EA,2,0.29138020925636543,12,0.6176470588235294,3,0
8,LAS,WE,7,0.3247802869580376,14,0.7352941176470589,5,1
8,MIN,WE,6,0.268423246683591,11,0.29411764705882354,0,1
8,NYL,EA,4,0.22727063125007568,14,0.3235294117647059,3,0
8,PHO,WE,1,0.36287226182152515,16,0.5294117647058824,1,0
8,SAC,WE,3,0.2773959550907027,10,0.6176470588235294,0,1
8,SAS,WE,2,0.2721819738617947,10,0.38235294117647056,2,0
8,SEA,WE,4,0.35262743245978967,14,0.5294117647058824,4,0
8,WAS,EA,5,0.3080412297977739,12,0.5294117647058824,2,0
9,CHI,EA,5,0.2808488837132073,14,0.4117647058823529,0,1
9,CON,EA,2,0.31281511065321094,13,0.5294117647058824,5,0
9,DET,EA,1,0.2893472373158868,14,0.7058823529411765,6,0
9,HOU,WE,5,0.27900933361254,15,0.38235294117647056,1,0
9,IND,EA,4,0.28916143011111267,12,0.6176470588235294,0,1
9,LAS,WE,3,0.25438954935232827,15,0.29411764705882354,6,0
9,MIN,WE,7,0.3165156621394489,12,0.29411764705882354,1,0
9,NYL,EA,3,0.24214905545274068,14,0.47058823529411764,4,0
9,PHO,WE,6,0.36453377185532587,13,0.6764705882352942,0,1
9,SAC,WE,4,0.2815556442941597,12,0.5588235294117647,1,0
9,SAS,WE,1,0.2802793946038057,10,0.5882352941176471,3,0
9,SEA,WE,2,0.3690663686995332,14,0.5,0,1
9,WAS,EA,6,0.2639032875205892,15,0.47058823529411764,0,1
10,ATL,EA,2,0.2484184253508507,14,0.11764705882352941,1,0
10,CHI,EA,5,0.3022724518757694,13,0.35294117647058826,1,0
10,CON,EA,6,0.3207563989409367,13,0.6176470588235294,6,0
10,DET,EA,3,0.30796784712187864,19,0.6470588235294118,7,0
10,IND,EA,1,0.27138271294023264,15,0.5,1,0
10,LAS,WE,3,0.3332932818518955,15,0.5882352941176471,7,0
10,MIN,WE,5,0.3174779948318142,15,0.47058823529411764,0,1
10,NYL,EA,7,0.28491459628876264,13,0.5588235294117647,5,0
10,PHO,WE,1,0.36986681725295245,14,0.47058823529411764,1,0
10,SAC,WE,6,0.27744364188204723,13,0.5294117647058824,2,0
10,SAS,WE,4,0.3346553345792046,12,0.7058823529411765,4,0
10,SEA,WE,2,0.2941498443525839,14,0.6470588235294118,1,0
10,WAS,EA,4,0.23423557372420975,16,0.29411764705882354,0,1
